Character,Class,HP GR,Str GR,Mag GR,Skl GR,Spd GR,Lck GR,Def GR,Res GR,
Norne,Pegasus Knight,50,25,0,40,50,30,20,5,
Norne,Falcon Knight,50,25,0,40,50,30,20,5,
Norne,Dracoknight,60,25,0,40,50,30,20,5,
Norne,Archer,60,25,0,40,55,30,20,0,
Norne,Sniper,60,25,0,40,55,30,20,0,
Norne,Myrmidon,70,25,0,40,50,30,15,0,
Norne,Swordmaster,70,25,0,40,50,30,15,0,
Norne,Mage,40,5,30,40,40,30,0,15,
Norne,Sage,40,0,20,40,45,30,0,25,
Norne,Bishop,40,0,20,40,45,30,0,25,
Norne,Cleric,40,0,10,35,45,30,0,35,
Caeda,Paladin,50,25,0,65,70,70,15,0,
Caeda,Pegasus Knight,40,20,0,60,85,70,10,0,
Caeda,Falcon Knight,40,20,0,60,85,70,10,0,
Caeda,Dracoknight,50,20,0,60,85,70,10,0,
Caeda,Archer,50,20,0,60,90,70,10,0,
Caeda,Sniper,50,20,0,60,90,70,10,0,
Caeda,Myrmidon,60,20,0,60,85,70,5,0,
Caeda,Swordmaster,60,20,0,60,85,70,5,0,
Caeda,Mage,30,0,35,60,75,70,0,10,
Caeda,Sage,30,0,25,60,80,70,0,20,
Caeda,Bishop,30,0,25,60,80,70,0,20,
Caeda,Cleric,30,0,15,55,80,70,0,30,
Wrys,Cavalier,40,20,0,30,10,40,20,10,
Wrys,Paladin,40,20,0,30,10,40,20,10,
Wrys,Dracoknight,30,15,0,25,25,40,15,15,
Wrys,Archer,40,15,0,25,30,40,15,5,
Wrys,Sniper,40,15,0,25,30,40,15,5,
Wrys,Myrmidon,50,15,0,25,25,40,10,10,
Wrys,Swordmaster,50,15,0,25,25,40,10,10,
Wrys,Mage,20,0,40,25,15,40,0,25,
Wrys,Sage,20,0,30,25,20,40,0,35,
Wrys,Bishop,20,0,30,25,20,40,0,35,
Wrys,Curate,20,0,20,20,20,40,0,45,
Ogma,Knight,90,35,0,35,10,40,45,0,
Ogma,General,90,35,0,35,10,40,45,0,
Ogma,Mercenary,90,40,0,40,30,40,20,0,
Ogma,Hero,90,40,0,40,30,40,20,0,
Ogma,Fighter,110,60,0,30,20,40,15,0,
Ogma,Warrior,110,60,0,30,20,40,15,0,
Ogma,Hunter,70,40,0,30,35,40,20,0,
Ogma,Horseman,70,40,0,30,35,40,20,0,
Ogma,Pirate,110,60,0,30,20,40,15,0,
Ogma,Berserker,110,60,0,30,20,40,15,0,
Ogma,Dark Mage,50,5,20,35,30,40,0,25,
Ogma,Sorcerer,50,5,20,35,30,40,0,25,
Barst,Knight,60,15,0,45,20,40,45,0,
Barst,General,60,15,0,45,20,40,45,0,
Barst,Mercenary,60,20,0,50,40,40,20,0,
Barst,Hero,60,20,0,50,40,40,20,0,
Barst,Fighter,80,40,0,40,30,40,15,0,
Barst,Warrior,80,40,0,40,30,40,15,0,
Barst,Hunter,40,20,0,40,45,40,20,0,
Barst,Horseman,40,20,0,40,45,40,20,0,
Barst,Pirate,80,40,0,40,30,40,15,0,
Barst,Berserker,80,40,0,40,30,40,15,0,
Barst,Dark Mage,20,0,20,45,40,40,0,20,
Barst,Sorcerer,20,0,20,45,40,40,0,20,
Bord,Knight,70,30,0,50,0,35,40,0,
Bord,General,70,30,0,50,0,35,40,0,
Bord,Mercenary,70,35,0,55,20,35,15,0,
Bord,Hero,70,35,0,55,20,35,15,0,
Bord,Fighter,90,55,0,45,10,35,10,0,
Bord,Warrior,90,55,0,45,10,35,10,0,
Bord,Hunter,50,35,0,45,25,35,15,0,
Bord,Horseman,50,35,0,45,25,35,15,0,
Bord,Pirate,90,55,0,45,10,35,10,0,
Bord,Berserker,90,55,0,45,10,35,10,0,
Bord,Dark Mage,30,0,20,50,20,35,0,20,
Bord,Sorcerer,30,0,20,50,20,35,0,20,
Cord,Knight,60,25,0,25,30,40,40,0,
Cord,General,60,25,0,25,30,40,40,0,
Cord,Mercenary,60,30,0,30,50,40,15,0,
Cord,Hero,60,30,0,30,50,40,15,0,
Cord,Fighter,80,50,0,20,40,40,10,0,
Cord,Warrior,80,50,0,20,40,40,10,0,
Cord,Hunter,40,30,0,20,55,40,15,0,
Cord,Horseman,40,30,0,20,55,40,15,0,
Cord,Pirate,80,50,0,20,40,40,10,0,
Cord,Berserker,80,50,0,20,40,40,10,0,
Cord,Dark Mage,20,0,30,25,50,40,0,30,
Cord,Sorcerer,20,0,30,25,50,40,0,30,
Castor,Knight,60,35,0,45,15,20,45,0,
Castor,General,60,35,0,45,15,20,45,0,
Castor,Mercenary,60,40,0,50,35,20,20,0,
Castor,Hero,60,40,0,50,35,20,20,0,
Castor,Fighter,80,60,0,40,25,20,15,0,
Castor,Warrior,80,60,0,40,25,20,15,0,
Castor,Hunter,40,40,0,40,40,20,20,0,
Castor,Horseman,40,40,0,40,40,20,20,0,
Castor,Pirate,80,60,0,40,25,20,15,0,
Castor,Berserker,80,60,0,40,25,20,15,0,
Castor,Dark Mage,20,5,25,45,35,20,0,20,
Castor,Sorcerer,20,5,25,45,35,20,0,20,
Darros,Knight,70,35,0,25,0,40,60,0,
Darros,General,70,35,0,25,0,40,60,0,
Darros,Mercenary,70,40,0,30,20,40,35,0,
Darros,Hero,70,40,0,30,20,40,35,0,
Darros,Fighter,90,60,0,20,10,40,30,0,
Darros,Warrior,90,60,0,20,10,40,30,0,
Darros,Hunter,50,40,0,20,25,40,35,0,
Darros,Horseman,50,40,0,20,25,40,35,0,
Darros,Pirate,90,60,0,20,10,40,30,0,
Darros,Berserker,90,60,0,20,10,40,30,0,
Darros,Dark Mage,30,5,20,25,20,40,15,20,
Darros,Sorcerer,30,5,20,25,20,40,15,20,
Julian,Thief,80,50,0,50,50,80,30,2,
Lena,Paladin,35,15,5,35,10,60,15,15,
Lena,Pegasus Knight,25,10,0,30,25,60,10,20,
Lena,Falcon Knight,25,10,0,30,25,60,10,20,
Lena,Dracoknight,35,10,5,30,25,60,10,20,
Lena,Archer,35,10,5,30,30,60,10,10,
Lena,Sniper,35,10,5,30,30,60,10,10,
Lena,Myrmidon,45,10,5,30,25,60,5,15,
Lena,Swordmaster,45,10,5,30,25,60,5,15,
Lena,Mage,15,0,45,30,15,60,0,30,
Lena,Sage,15,0,35,30,20,60,0,40,
Lena,Bishop,15,0,35,30,20,60,0,40,
Lena,Cleric,15,0,25,25,20,60,0,50,
Navarre,Cavalier,80,35,0,45,35,40,20,0,
Navarre,Paladin,80,35,0,45,35,40,20,0,
Navarre,Dracoknight,70,30,0,40,50,40,15,0,
Navarre,Archer,80,30,0,40,55,40,15,0,
Navarre,Sniper,80,30,0,40,55,40,15,0,
Navarre,Myrmidon,90,30,0,40,50,40,10,0,
Navarre,Swordmaster,90,30,0,40,50,40,10,0,
Navarre,Mage,60,10,35,40,40,40,0,10,
Navarre,Sage,60,5,25,40,40,40,0,20,
Navarre,Bishop,60,5,25,40,40,40,0,20,
Navarre,Curate,60,5,15,35,35,40,0,30,
Merric,Cavalier,80,15,0,55,35,45,35,5,
Merric,Paladin,80,15,0,55,35,45,35,5,
Merric,Dracoknight,70,10,0,50,50,45,30,10,
Merric,Archer,80,10,0,50,55,45,30,0,
Merric,Sniper,80,10,0,50,55,45,30,0,
Merric,Myrmidon,90,10,0,50,50,45,25,5,
Merric,Swordmaster,90,10,0,50,50,45,25,5,
Merric,Mage,60,0,40,50,40,45,5,20,
Merric,Sage,60,0,30,50,45,45,5,30,
Merric,Bishop,60,0,30,50,45,45,5,30,
Merric,Curate,60,0,20,45,20,45,10,40,
Matthis,Cavalier,90,40,0,30,20,30,30,0,
Matthis,Paladin,90,40,0,30,20,30,30,0,
Matthis,Dracoknight,80,35,0,25,35,30,25,5,
Matthis,Archer,90,35,0,25,40,30,25,0,
Matthis,Sniper,90,35,0,25,40,30,25,0,
Matthis,Myrmidon,100,35,0,25,35,30,20,0,
Matthis,Swordmaster,100,35,0,25,35,30,20,0,
Matthis,Mage,70,15,30,25,25,30,0,15,
Matthis,Sage,70,10,20,25,30,30,0,25,
Matthis,Bishop,70,10,20,25,30,30,0,25,
Matthis,Curate,70,10,10,20,30,30,5,35,
Hardin,Cavalier,50,30,0,55,55,30,20,0,
Hardin,Paladin,50,30,0,55,55,30,20,0,
Hardin,Dracoknight,40,25,0,50,70,30,15,5,
Hardin,Archer,50,25,0,50,75,30,15,0,
Hardin,Sniper,50,25,0,50,75,30,15,0,
Hardin,Myrmidon,60,25,0,50,70,30,10,0,
Hardin,Swordmaster,60,25,0,50,70,30,10,0,
Hardin,Mage,30,5,30,50,60,30,0,15,
Hardin,Sage,30,0,20,50,65,30,0,25,
Hardin,Bishop,30,0,20,50,65,30,0,25,
Hardin,Curate,30,0,10,45,65,30,0,35,
Wolf,General,180,95,0,90,60,50,90,0,
Wolf,Hero,180,100,0,95,80,50,65,0,
Wolf,Warrior,200,120,0,85,70,50,60,0,
Wolf,Horseman,160,100,0,85,85,50,65,0,
Wolf,Berserker,200,120,0,85,70,50,60,0,
Wolf,Sorcerer,140,65,25,90,80,50,45,25,
Sedgar,General,180,75,0,100,60,30,110,0,
Sedgar,Hero,180,80,0,105,80,30,85,0,
Sedgar,Warrior,200,100,0,95,70,30,80,0,
Sedgar,Horseman,160,80,0,95,85,30,85,0,
Sedgar,Berserker,200,100,0,95,70,30,80,0,
Sedgar,Sorcerer,140,45,25,100,80,30,65,20,
Roshea,Cavalier,90,40,0,55,10,10,20,0,
Roshea,Paladin,90,40,0,55,10,10,20,0,
Roshea,Dracoknight,80,35,0,50,25,10,15,5,
Roshea,Archer,90,35,0,50,30,10,15,0,
Roshea,Sniper,90,35,0,50,30,10,15,0,
Roshea,Myrmidon,100,35,0,50,25,10,10,0,
Roshea,Swordmaster,100,35,0,50,25,10,10,0,
Roshea,Mage,70,15,30,50,15,10,0,15,
Roshea,Sage,70,10,20,50,20,10,0,25,
Roshea,Bishop,70,10,20,50,20,10,0,25,
Roshea,Curate,70,10,10,45,20,10,0,35,
Vyland,Cavalier,60,30,0,25,40,30,15,0,
Vyland,Paladin,60,30,0,25,40,30,15,0,
Vyland,Dracoknight,50,25,0,20,55,30,10,5,
Vyland,Archer,60,25,0,20,60,30,10,0,
Vyland,Sniper,60,25,0,20,60,30,10,0,
Vyland,Myrmidon,70,25,0,20,55,30,5,0,
Vyland,Swordmaster,70,25,0,20,55,30,5,0,
Vyland,Mage,40,5,30,20,45,30,0,15,
Vyland,Sage,40,0,20,20,50,30,0,25,
Vyland,Bishop,40,0,20,20,50,30,0,25,
Vyland,Curate,40,0,10,15,50,30,0,35,
Wendell,Paladin,60,15,0,25,10,40,20,10,
Wendell,Dracoknight,50,10,0,20,25,40,15,15,
Wendell,Sniper,60,10,0,20,30,40,15,5,
Wendell,Swordmaster,70,10,0,20,25,40,10,10,
Wendell,Sage,40,0,20,20,20,40,0,35,
Wendell,Bishop,40,0,20,20,20,40,0,35,
Rickard,Thief,50,50,0,30,50,40,10,2,
Athena,Paladin,65,30,0,45,35,25,20,0,
Athena,Pegasus Knight,55,25,0,40,50,25,15,0,
Athena,Falcon Knight,55,25,0,40,50,25,15,0,
Athena,Dracoknight,65,25,0,40,50,25,15,0,
Athena,Archer,65,25,0,40,55,25,15,0,
Athena,Sniper,65,25,0,40,55,25,15,0,
Athena,Myrmidon,75,25,0,40,50,25,10,0,
Athena,Swordmaster,75,25,0,40,50,25,10,0,
Athena,Mage,45,5,35,40,40,25,0,10,
Athena,Sage,45,0,25,40,45,25,0,20,
Athena,Bishop,45,0,25,40,45,25,0,20,
Athena,Cleric,45,0,15,35,45,25,0,30,
Bantu,Manakete,40,20,10,20,10,10,10,0,
Caesar,Knight,90,35,0,30,25,20,40,0,
Caesar,General,90,35,0,30,25,20,40,0,
Caesar,Mercenary,90,40,0,35,45,20,15,0,
Caesar,Hero,90,40,0,35,45,20,15,0,
Caesar,Fighter,110,60,0,25,35,20,10,0,
Caesar,Warrior,110,60,0,25,35,20,10,0,
Caesar,Hunter,70,40,0,25,50,20,15,0,
Caesar,Horseman,70,40,0,25,50,20,15,0,
Caesar,Pirate,110,60,0,25,35,20,10,0,
Caesar,Berserker,110,60,0,25,35,20,10,0,
Caesar,Dark Mage,50,5,30,30,45,20,0,25,
Caesar,Sorcerer,50,5,30,30,45,20,0,25,
Radd,Cavalier,70,45,0,40,30,40,30,0,
Radd,Paladin,70,45,0,40,30,40,30,0,
Radd,Dracoknight,60,40,0,35,45,40,25,0,
Radd,Archer,70,40,0,35,50,40,25,0,
Radd,Sniper,70,40,0,35,50,40,25,0,
Radd,Myrmidon,80,40,0,35,45,40,20,0,
Radd,Swordmaster,80,40,0,35,45,40,20,0,
Radd,Mage,50,20,30,35,35,40,0,10,
Radd,Sage,50,15,20,35,40,40,0,20,
Radd,Bishop,50,15,20,35,40,40,0,20,
Radd,Curate,50,15,10,30,40,40,5,30,
Roger,Knight,70,50,0,30,10,80,30,0,
Roger,General,70,50,0,30,10,80,30,0,
Roger,Mercenary,70,55,0,35,30,80,5,0,
Roger,Hero,70,55,0,35,30,80,5,0,
Roger,Fighter,90,75,0,25,20,80,0,0,
Roger,Warrior,90,75,0,25,20,80,0,0,
Roger,Hunter,50,55,0,25,35,80,5,0,
Roger,Horseman,50,55,0,25,35,80,5,0,
Roger,Pirate,90,75,0,25,20,80,0,0,
Roger,Berserker,90,75,0,25,20,80,0,0,
Roger,Dark Mage,30,20,20,30,30,80,0,25,
Roger,Sorcerer,30,20,20,30,30,80,0,25,
Jeorge,Paladin,40,25,0,55,20,20,15,0,
Jeorge,Dracoknight,30,20,0,50,35,20,10,5,
Jeorge,Sniper,40,20,0,50,40,20,10,0,
Jeorge,Swordmaster,50,20,0,50,35,20,5,0,
Jeorge,Sage,20,0,25,50,30,20,0,25,
Jeorge,Bishop,20,0,25,50,30,20,0,25,
Maria,Paladin,35,15,0,35,15,75,10,15,
Maria,Pegasus Knight,25,10,0,30,30,75,5,20,
Maria,Falcon Knight,25,10,0,30,30,75,5,20,
Maria,Dracoknight,35,10,0,30,30,75,5,20,
Maria,Archer,35,10,0,30,35,75,5,10,
Maria,Sniper,35,10,0,30,35,75,5,10,
Maria,Myrmidon,45,10,0,30,30,75,0,15,
Maria,Swordmaster,45,10,0,30,30,75,0,15,
Maria,Ma,15,0,40,30,20,75,0,30,
Maria,Sage,15,0,30,30,25,75,0,40,
Maria,Bishop,15,0,30,30,25,75,0,40,
Maria,Cleric,15,0,20,25,25,75,0,50,
Minerva,Paladin,40,40,0,55,20,40,35,0,
Minerva,Dracoknight,40,35,0,50,35,40,30,0,
Minerva,Sniper,40,35,0,50,40,40,30,0,
Minerva,Swordmaster,50,35,0,50,35,40,25,0,
Minerva,Sage,20,10,20,50,30,40,5,20,
Minerva,Bishop,20,10,20,50,30,40,5,20,
Linde,Paladin,60,15,10,45,30,60,15,0,
Linde,Pegasus Knight,50,10,5,40,45,60,10,5,
Linde,Falcon Knight,50,10,5,40,45,60,10,5,
Linde,Dracoknight,60,10,5,40,45,60,10,5,
Linde,Archer,60,10,10,40,50,60,10,0,
Linde,Sniper,60,10,10,40,50,60,10,0,
Linde,Myrmidon,70,10,10,40,45,60,5,0,
Linde,Swordmaster,70,10,10,40,45,60,5,0,
Linde,Mage,40,0,50,40,35,60,0,15,
Linde,Sage,40,0,40,40,40,60,0,25,
Linde,Bishop,40,0,40,40,40,60,0,25,
Linde,Cleric,40,0,30,35,40,60,0,35,
Jake,Ballistician,40,30,0,50,50,10,20,0,
Midia,Paladin,80,30,0,50,50,10,20,0,
Midia,Dracoknight,80,25,0,45,65,10,15,5,
Midia,Sniper,80,25,0,45,70,10,15,0,
Midia,Swordmaster,90,25,0,45,65,10,10,0,
Midia,Sage,60,0,20,45,60,10,0,25,
Midia,Bishop,60,0,20,45,60,10,0,25,
Dolph,Knight,70,30,0,40,30,10,45,0,
Dolph,General,70,30,0,40,30,10,45,0,
Dolph,Mercenary,70,35,0,45,50,10,20,0,
Dolph,Hero,70,35,0,45,50,10,20,0,
Dolph,Fighter,90,55,0,35,40,10,15,0,
Dolph,Warrior,90,55,0,35,40,10,15,0,
Dolph,Hunter,50,35,0,35,55,10,20,0,
Dolph,Horseman,50,35,0,35,55,10,20,0,
Dolph,Pirate,90,55,0,35,40,10,15,0,
Dolph,Berserker,90,55,0,35,40,10,15,0,
Dolph,Dark Mage,30,0,25,40,50,10,0,20,
Dolph,Sorcerer,30,0,25,40,50,10,0,20,
Macellan,Knight,60,35,0,25,25,30,30,0,
Macellan,General,60,35,0,25,25,30,30,0,
Macellan,Mercenary,60,40,0,30,45,30,5,0,
Macellan,Hero,60,40,0,30,45,30,5,0,
Macellan,Fighter,80,60,0,20,35,30,0,0,
Macellan,Warrior,80,60,0,20,35,30,0,0,
Macellan,Hunter,40,40,0,20,50,30,5,0,
Macellan,Horseman,40,40,0,20,50,30,5,0,
Macellan,Pirate,80,60,0,20,35,30,0,0,
Macellan,Berserker,80,60,0,20,35,30,0,0,
Macellan,Dark Mage,20,5,20,25,45,30,0,25,
Macellan,Sorcerer,20,5,20,25,45,30,0,25,
Tomas,Cavalier,65,30,0,35,30,25,15,5,
Tomas,Paladin,65,30,0,35,30,25,15,5,
Tomas,Dracoknight,55,25,0,30,45,25,10,10,
Tomas,Archer,65,25,0,30,50,25,10,0,
Tomas,Sniper,65,25,0,30,50,25,10,0,
Tomas,Myrmidon,75,25,0,30,45,25,5,5,
Tomas,Swordmaster,75,25,0,30,45,25,5,5,
Tomas,Mage,45,5,30,30,35,25,0,20,
Tomas,Sage,45,0,20,30,40,25,0,30,
Tomas,Bishop,45,0,20,30,40,25,0,30,
Tomas,Curate,45,0,10,25,40,25,0,40,
Boah,Paladin,30,15,0,25,10,20,15,5,
Boah,Dracoknight,20,10,0,20,25,20,10,10,
Boah,Sniper,30,10,0,20,30,20,10,0,
Boah,Swordmaster,40,10,0,20,25,20,5,5,
Boah,Sage,10,0,20,20,20,20,0,30,
Boah,Bishop,10,0,20,20,20,20,0,30,
Horace,General,60,15,0,35,10,15,35,0,
Horace,Hero,60,20,0,40,30,15,10,0,
Horace,Warrior,80,40,0,30,20,15,5,0,
Horace,Horseman,40,20,0,30,35,15,10,0,
Horace,Berserker,80,40,0,30,20,15,5,0,
Horace,Sorcerer,20,0,25,35,30,15,0,20,
Beck,Ballistician,60,25,0,30,40,35,25,0,
Astram,General,90,45,0,35,0,50,35,0,
Astram,Hero,90,50,0,40,20,50,10,0,
Astram,Warrior,110,70,0,30,10,50,5,0,
Astram,Horseman,70,50,0,30,25,50,10,0,
Astram,Berserker,110,70,0,30,10,50,5,0,
Astram,Sorcerer,50,15,25,35,20,50,0,25,
Palla,Paladin,70,60,0,75,10,10,30,5,
Palla,Pegasus Knight,60,55,0,70,25,10,25,10,
Palla,Falcon Knight,60,55,0,70,25,10,25,10,
Palla,Dracoknight,70,55,0,70,25,10,25,10,
Palla,Archer,70,55,0,70,30,10,25,0,
Palla,Sniper,70,55,0,70,30,10,25,0,
Palla,Myrmidon,80,55,0,70,25,10,20,5,
Palla,Swordmaster,80,55,0,70,25,10,20,5,
Palla,Mage,50,35,30,70,15,10,0,20,
Palla,Sage,50,30,20,70,20,10,0,30,
Palla,Bishop,50,30,20,70,20,10,0,30,
Palla,Cleric,50,30,10,65,20,10,5,40,
Catria,Paladin,70,50,0,85,50,40,30,0,
Catria,Pegasus Knight,60,45,0,80,65,40,25,5,
Catria,Falcon Knight,60,45,0,80,65,40,25,5,
Catria,Dracoknight,70,45,0,80,65,40,25,5,
Catria,Archer,70,45,0,80,70,40,25,0,
Catria,Sniper,70,45,0,80,70,40,25,0,
Catria,Myrmidon,80,45,0,80,65,40,20,0,
Catria,Swordmaster,80,45,0,80,65,40,20,0,
Catria,Mage,50,25,30,80,55,40,0,15,
Catria,Sage,50,20,20,80,60,40,0,25,
Catria,Bishop,50,20,20,80,60,40,0,25,
Catria,Cleric,50,20,10,75,60,40,5,35,
Arran,Paladin,50,50,0,30,40,40,15,5,
Arran,Dracoknight,40,45,0,25,55,40,10,10,
Arran,Sniper,50,45,0,25,60,40,10,0,
Arran,Swordmaster,60,45,0,25,55,40,5,5,
Arran,Sage,30,20,20,25,50,40,0,30,
Arran,Bishop,30,20,20,25,50,40,0,30,
Samson,General,70,30,0,20,5,55,40,0,
Samson,Hero,70,35,0,25,25,55,15,0,
Samson,Warrior,90,55,0,15,15,55,10,0,
Samson,Horseman,50,35,0,15,30,55,15,0,
Samson,Berserker,90,55,0,15,15,55,10,0,
Samson,Sorcerer,30,0,25,20,25,55,0,25,
Xane,Chameleon,40,30,0,30,30,20,15,2,
Etzel,General,80,15,0,40,20,20,35,0,
Etzel,Hero,80,20,0,45,40,20,10,0,
Etzel,Warrior,100,40,0,35,30,20,5,0,
Etzel,Horseman,60,20,0,35,45,20,10,0,
Etzel,Berserker,100,40,0,35,30,20,5,0,
Etzel,Sorcerer,40,0,30,40,40,20,0,30,
Est,Paladin,50,60,0,65,40,50,25,0,
Est,Pegasus Knight,40,55,0,60,55,50,20,5,
Est,Falcon Knight,40,55,0,60,55,50,20,5,
Est,Dracoknight,50,55,0,60,55,50,20,5,
Est,Archer,50,55,0,60,60,50,20,0,
Est,Sniper,50,55,0,60,60,50,20,0,
Est,Myrmidon,60,55,0,60,55,50,15,0,
Est,Swordmaster,60,55,0,60,55,50,15,0,
Est,Mage,30,35,30,60,45,50,0,15,
Est,Sage,30,30,20,60,50,50,0,25,
Est,Bishop,30,30,20,60,50,50,0,25,
Est,Cleric,30,30,10,55,50,50,0,35,
Tiki,Manakete,90,50,10,80,80,90,20,2,
Lorenz,General,70,50,0,70,20,40,30,0,
Lorenz,Hero,70,55,0,75,40,40,5,0,
Lorenz,Warrior,90,75,0,65,30,40,0,0,
Lorenz,Horseman,50,55,0,65,45,40,5,0,
Lorenz,Berserker,90,75,0,765,30,40,0,0,
Lorenz,Sorcerer,30,20,20,70,40,40,0,25,
Ymir,General,70,25,0,30,20,25,40,0,
Ymir,Hero,70,30,0,35,40,25,15,0,
Ymir,Warrior,90,50,0,25,30,25,10,0,
Ymir,Horseman,50,30,0,25,45,25,15,0,
Ymir,Berserker,90,50,0,25,30,25,10,0,
Ymir,Sorcerer,30,0,20,30,40,25,0,20,
Elice,Paladin,80,15,10,60,50,80,25,0,
Elice,Pegasus Knight,70,10,5,55,65,80,20,0,
Elice,Falcon Knight,70,10,5,55,65,80,20,0,
Elice,Dracoknight,80,10,5,55,65,80,20,0,
Elice,Archer,80,10,10,55,70,80,20,0,
Elice,Sniper,80,10,10,55,70,80,20,0,
Elice,Myrmidon,90,10,10,55,65,80,15,0,
Elice,Swordmaster,90,10,10,55,65,80,15,0,
Elice,Mage,60,0,50,55,55,80,0,10,
Elice,Sage,60,0,40,55,60,80,0,20,
Elice,Bishop,60,0,40,55,60,80,0,20,
Elice,Cleric,60,0,30,50,60,80,0,30,
Nagi,Manakete,90,50,10,80,80,90,20,2,
Gotoh,Paladin,80,15,0,55,50,80,15,5,
Gotoh,Dracoknight,70,10,0,50,65,80,10,10,
Gotoh,Sniper,80,10,0,50,70,80,10,0,
Gotoh,Swordmaster,90,10,0,50,65,80,5,5,
Gotoh,Sage,60,0,20,50,60,80,0,30,
Gotoh,Bishop,60,0,20,50,60,80,0,30,
Class_Max,HP,Str,Mag,Skl,Spd,Lck,Def,Res,,
Lord,60,25,25,25,25,30,25,25,,
Pegasus Knight,60,20,20,20,20,20,20,20,,
Cavalier,60,20,20,20,20,20,20,20,,
Knight,60,20,20,20,20,20,20,20,,
Archer,60,20,20,20,20,20,20,20,,
Mercenary,60,20,20,20,20,20,20,20,,
Myrmidon,60,20,20,20,20,20,20,20,,
Fighter,60,20,20,20,20,20,20,20,,
Hunter,60,20,20,20,20,20,20,20,,
Pirate,60,20,20,20,20,20,20,20,,
Dark Mage,60,20,20,20,20,20,20,20,,
Mage,60,20,20,20,20,20,20,20,,
Curate,60,20,20,20,20,20,20,20,,
Cleric,60,20,20,20,20,20,20,20,,
Falcon Knight,60,24,20,25,25,30,25,26,,
Dracoknight,60,26,20,26,23,30,30,21,,
Paladin,60,25,21,28,25,25,30,25,,
General,60,27,20,25,21,30,30,20,,
Sniper,60,24,20,30,29,30,23,20,,
Hero,60,25,20,30,26,30,25,22,,
Swordmaster,60,24,20,29,30,30,22,23,,
